Fecha y Hora,Caudal Medio Diario Máximo [m3/s]
01/04/1954 00:00,77.9
01/04/1955 00:00,66.8
01/04/1956 00:00,44.1
01/04/1957 00:00,72.5
01/04/1958 00:00,220.4
01/04/1959 00:00,130
01/04/1960 00:00,61
01/04/1961 00:00,46.1
01/04/1962 00:00,103.6
01/04/1963 00:00,84
31/03/1964 23:00,65
31/03/1965 23:00,100
31/03/1966 23:00,156
01/04/1967 00:00,66.05
01/04/1968 00:00,75.73
01/04/1969 00:00,100.9
01/04/1970 00:00,89.01
01/04/1971 00:00,62.33
01/04/1972 00:00,96.36
01/04/1973 00:00,56.68
01/04/1974 01:00,49.07
01/04/1975 00:00,80.62
01/04/1976 00:00,69.9
01/04/1977 00:00,198.8
01/04/1978 00:00,73.09
01/04/1979 00:00,79.72
01/04/1980 00:00,79.54
01/04/1981 00:00,90.16
01/04/1982 00:00,79.33
01/04/1983 00:00,59.93
01/04/1984 00:00,60.75
01/04/1985 00:00,76.93
01/04/1986 00:00,84.39
01/04/1987 00:00,67
01/04/1988 00:00,43.51
01/04/1991 00:00,135.3
01/04/1992 00:00,97.56
01/04/1993 00:00,69.75
01/04/1994 00:00,77.52
01/04/1995 00:00,96.03
01/04/1996 00:00,92.85
01/04/1997 00:00,136.1
01/04/1998 00:00,34.38
01/04/1999 00:00,106.5
01/04/2000 00:00,99.11
01/04/2001 00:00,73.25
01/04/2002 00:00,145.6
01/04/2003 00:00,140.7
01/04/2004 00:00,77.37
01/04/2005 00:00,96.4
01/04/2006 00:00,55.44
01/04/2007 00:00,35.35
01/04/2008 00:00,150.39
01/04/2009 00:00,67.41
01/04/2010 00:00,58.99
01/04/2011 00:00,48.61
01/04/2012 00:00,68.89
01/04/2013 00:00,77.47
01/04/2014 00:00,86.14
01/04/2015 00:00,65.66
01/04/2016 00:00,38.79
01/04/2017 00:00,99.57
01/04/2018 00:00,278.74
01/04/2019 00:00,61.72
,
